x,y,layer1,layer2,voltage1,voltage2,current
72.5275,167.473,TOP_LAYER,BOTTOM_LAYER,4.99949,4.99949,6.42766e-12
687.527,67.4725,TOP_LAYER,BOTTOM_LAYER,0.0100375,0.0100375,1.2554e-14
687.527,167.473,TOP_LAYER,BOTTOM_LAYER,-498.765,-498.765,4.1137e-10
72.5275,67.4725,TOP_LAYER,BOTTOM_LAYER,0,0,-0
